"y","x","z"
52.82591499505318,13.138013169548307,
52.39135028410467,13.95900416188418,
53.06811559173309,12.604881522791269,
52.835630411862574,13.632570499923105,
53.15881314163975,13.82497405621831,
51.8677659047234,13.547134172861822,
52.71923707838839,12.539077729945248,
52.421618999958085,13.828644568600232,
52.932251544712706,12.137240667190039,
51.97194429170811,14.156952253686717,
51.80049570847367,13.30830771255172,
52.99203868952656,13.481370632514196,
52.52843482997487,14.437001354226549,
52.68739433080254,14.28313580279376,
53.187662866088665,13.69561431573803,
51.87291014595615,14.048097359814545,
52.24828990687394,12.986148367971385,
51.54791719746423,14.355992377015005,
52.57156990356688,13.180656032532012,
53.00257802160147,13.977119618142133,
52.49561574465197,12.452168183986455,
52.98970483559927,11.884314878190876,
52.00303020701461,14.02584647762437,
52.55014041322459,13.806501605082092,
52.23164745419936,14.112076232894,
52.436071703898925,12.708162536316514,
53.03175197771976,13.847340168180823,
53.35488680454555,14.039014037824158,
51.67920705234104,14.33344899622007,
52.41385359230019,13.331213868264236,
52.91338944425784,12.753282843934866,
52.23859107621554,14.614571715803848,
52.609923155180354,13.54687308933377,
51.96074241477872,13.157415002680072,
52.17015631718914,14.374384298565879,
51.63933851907487,13.459767258482433,
53.17628149107729,13.202236172850936,
52.717225261331684,14.152519927164409,
52.21121774623633,12.62095412025146,
51.7108776832459,14.201764755675539,
52.27852520864578,12.857340069910851,
51.61556930019397,14.597569347648118,
52.60128442106182,13.051824982151825,
52.525251866377516,12.324561200240506,
53.326239340083205,14.168790169573189,
53.17106877059162,11.613087774428365,
53.03936522121432,12.732444098895582,
52.74696392440474,14.022154736056697,
53.27857475410188,12.203563368985716,
53.1035743382895,11.38161172766877,
51.60776901592088,13.590254497231195,
52.1264161183681,13.503954980509937,
52.63090799733285,12.92325100837468,
52.323172485214826,13.720502993808946,
52.5547979184881,12.197215109508956,
53.182246097360284,12.097221982758967,
52.87444850509603,12.391210494648515,
51.87810502114002,14.551776410494872,
52.255236205838514,13.482344882770327,
52.89428754764724,13.374114105366159,
52.63967664020562,13.417440028861275,
53.306751302492536,12.077203496764483,
51.99154439866659,13.028022704470747,
52.55859853924892,14.305968891692494,
52.24141039072169,12.492760706614208,
52.120083846291,13.007091653757163,
52.75778080614255,12.902264668511602,
52.44389502553,13.201961655665276,
52.489987236241156,14.06714198778706,
52.36867811750972,12.472469408660073,
53.170182610786085,14.321875827634509,
53.00006627339495,12.370875086929933,
52.0528655990002,12.770013236452396,
52.93367049410268,13.740001237191006,
52.27151105174834,12.364827849760168,
51.44229344173795,13.24165125147793,
53.25683024238012,13.932041696840216,
51.80530186571338,13.808225243898553,
51.966316051554884,13.655806782961577,
52.81629263208305,12.646220015565444,
52.35349273468932,13.590485219142325,
53.028783115329844,12.243924653598764,
52.0710265347843,14.265715121139733,
52.92348116539053,13.245267857571122,
52.48187665873818,13.568685180911844,
53.1187361512392,13.4595164422487,
51.83163143139445,13.17849553563761,
53.05004904243895,13.223756414016316,
53.10084598380071,14.084448537149447,
52.08338564450243,12.641397346933942,
51.935277034824516,13.786316614103344,
52.95258534732781,13.116677108194718,
52.64853046513671,13.914374390044815,
52.330530992933944,14.220479525618371,
53.193530032411374,12.584200898293108,
51.512472772265546,13.983246297034409,
52.53346824477938,12.815746753469513,
52.96289952121553,13.610559217956196,
