"x","y","Z"
12.4552249689087,52.1450583649254,11.7141992650914
12.513041517018,52.1138125357381,11.7086871397717
12.7126800382401,52.1895950307068,11.6109619595594
12.3667617436763,52.4806066809186,19.6716688761888
12.4417223081807,52.3409115884816,2.64672027268096
12.5612986030107,52.032029029058,11.4964865394504
12.2192009785558,52.965398455528,16.0107647442888
12.1429554451097,52.896430882367,11.9821785453188
11.932100759021,53.2364027421918,3.21079053239844
12.4658555146365,53.1683538090517,11.4042582513421
12.5438648272501,53.0127657799979,13.200695679353
12.3120787957342,53.2543553149108,19.8306406790687
12.3358851028694,52.783177031343,16.9133507515844
12.3243232648355,52.8550855867267,14.6951787172342
13.8490776779027,52.7161994104468,11.0853770018247
13.9303194380959,52.5568364848688,10.6969211902626
13.7643259073766,52.9980486875319,11.5307841098993
13.6137043154207,52.9447389152014,11.7035398402881
13.8811929436181,53.041607736331,11.4525644527303
13.720502993809,52.3231724852148,3.55176990516737
13.5751243764234,52.2334851762169,7.60085407786323
13.5682797816536,52.6927087187311,11.5298826646301
13.6457480526752,52.5520159119789,11.1195915091048
13.5995157447143,52.509929665217,11.2806276705649
14.1800747158297,52.7637318527303,11.0926236389051
14.3214080745111,52.5727204347452,10.9950029069712
14.14434804018,52.9649359305941,11.2684386856222
14.1806220478885,53.0618343487182,11.3228827030944
13.9566875515741,52.1970916930675,9.59122368185135
14.2269453984844,52.2935426077441,10.7529328140871
13.7414760025182,53.2296031529964,11.6584944394646
13.4187553267815,51.452704643712,12.22986941427
13.8000933959772,53.1991712489565,11.5988877581852
14.1294412538753,53.2478596549099,11.4224854258348
13.184966778186,51.9010274522934,5.94915112711812
12.9815845822655,51.9495695313449,8.50962371447829
13.2904085961905,52.0176360552409,8.34312857254542
12.977169075745,52.3031333077747,10.2617386441287
12.8905862216408,52.1828140992581,9.63079608047144
12.7177931174152,52.0476490972017,10.9144751339102
13.3894294256297,52.0649753237452,12.530141115008
13.658795076563,52.1607509234585,6.89894427040172
13.3557369574241,52.2672590440855,23.7653069697374
13.2784888319198,52.1971965118458,9.32531403976404
13.4607219476538,52.3837196324798,17.6732469317748
13.3940498986881,51.4945100501154,12.2854769930119
13.037108769891,52.9010722217859,13.6055690149834
12.8965703010846,52.8982150920061,14.3376230732059
