"y","x","z"
53.0127657799979,12.5438648272501,11.1519108195443
53.2543553149108,12.3120787957342,11.151760872499
52.783177031343,12.3358851028694,11.1518772539413
52.8550855867267,12.3243232648355,11.1518562629342
52.7161994104468,13.8490776779027,11.1525249291955
52.5568364848688,13.9303194380959,11.1525990791284
52.9980486875319,13.7643259073766,11.1524191601772
52.9447389152014,13.6137043154207,11.1523696994234
53.041607736331,13.8811929436181,11.1524568471529
52.3231724852148,13.720502993809,11.1525677546328
52.2334851762169,13.5751243764234,NA
52.6927087187311,13.5682797816536,NA
52.5520159119789,13.6457480526752,NA
52.509929665217,13.5995157447143,NA
52.7637318527303,14.1800747158297,NA
52.5727204347452,14.3214080745111,NA
52.9649359305941,14.14434804018,NA
53.0618343487182,14.1806220478885,NA
52.1970916930675,13.9566875515741,NA
52.2935426077441,14.2269453984844,NA
53.2296031529964,13.7414760025182,NA
51.452704643712,13.4187553267815,NA
53.1991712489565,13.8000933959772,NA
53.2478596549099,14.1294412538753,NA
51.9010274522934,13.184966778186,NA
51.9495695313449,12.9815845822655,NA
52.0176360552409,13.2904085961905,NA
52.3031333077747,12.977169075745,NA
52.1828140992581,12.8905862216408,NA
52.0476490972017,12.7177931174152,NA
52.0649753237452,13.3894294256297,NA
52.1607509234585,13.658795076563,NA
52.2672590440855,13.3557369574241,NA
52.1971965118458,13.2784888319198,NA
52.3837196324798,13.4607219476538,NA
51.4945100501154,13.3940498986881,NA
52.9010722217859,13.037108769891,NA
52.8982150920061,12.8965703010846,NA
52.9442789697792,13.1533912139406,NA
53.0296217456903,12.6989419909087,NA
52.6241970162868,12.8008820188316,NA
52.4576256645953,12.9164589858554,NA
52.4661608183425,12.8797248399953,NA
52.9686082973006,12.5861623883617,NA
52.6856833042558,12.6851549340025,NA
52.9180402865084,13.4231988712473,NA
52.9905413603586,13.4107702658574,NA
53.0469860576209,13.0830992904949,NA
53.0933950375082,13.3400445719987,NA
52.7407623741334,13.2053916409869,NA
52.6007292044955,13.2820918497255,NA
52.4310314290709,13.2573240877475,NA
52.0629719557931,14.7541655160752,NA
52.4424619929294,14.2726369510157,NA
53.3706613569254,14.1251574868696,NA
51.642790177626,13.8894044921756,NA
52.1080836596936,13.8823651009171,NA
51.9465167046827,13.9637054272055,NA
51.6049006354758,13.8239015373749,NA
51.4316495285238,13.7988751407573,NA
51.7116302079496,13.7522105866726,NA
51.7860297485767,13.7397540570445,NA
51.6275272379191,14.3242752780969,NA
51.7237222409915,14.5968366871883,NA
52.252147944698,14.2521388465596,NA
52.0816453869018,14.3718674023918,NA
51.9601927638936,14.3570030471354,NA
51.5656409857861,14.2085232655533,NA
52.1892009840853,12.3426618407203,NA
52.1765987138248,12.7677791602997,NA
52.1069030691534,12.6906269818374,NA
52.5240845147287,12.2546241299653,NA
53.1879044348808,12.1485456231544,NA
52.912918852717,12.0705574053936,NA
53.2341242401106,12.4026540007044,NA
53.0676088956232,12.3773951114008,NA
52.929765538413,12.4522913442335,NA
52.6822160257253,12.2470065032709,NA
52.8924140939994,12.3883058967695,NA
52.6136511285006,13.7598763848801,NA
52.7103364069328,14.0285845359411,NA
52.8874564054935,13.7124777462336,NA
52.8958381781498,13.6754687003963,NA
53.0582336601701,13.8071188727879,NA
52.2204115434219,13.6308544805282,NA
52.3165763165969,13.900341072945,NA
52.736306546705,13.4542561308122,NA
52.4495295618825,13.5563786332739,NA
52.6322380624738,14.2929230273339,NA
53.0321838998411,14.0788414243429,NA
52.8623091383596,14.055411327575,NA
53.0758930179897,14.1959589472706,NA
52.3109973730195,14.1521085230462,NA
53.2845269034437,13.5723288352763,NA
53.1457298750684,13.6497356501518,NA
53.049452927586,13.6132898571822,NA
51.4353546667434,13.6366328124185,NA
53.2643145690129,14.0552451506927,NA
53.1942159288515,13.978755209945,NA
51.9695526380142,13.1204194700274,NA
52.1226389681087,12.8472404762004,NA
52.2459352610581,13.1460920114217,NA
51.6179599628185,13.1062878258038,NA
51.9321668925447,13.5006907597526,NA
51.8618622529641,13.4230887141486,NA
52.0491096724426,13.6061590632772,NA
52.2145875348589,13.2045295647913,NA
51.8241431224884,13.3579323489104,NA
51.5402871845264,13.2793712107041,NA
52.7995106921663,12.9482382206664,NA
53.0109064396214,13.0891912648114,NA
53.0434777876071,12.7142050677185,NA
53.1133814000117,13.0190252451808,NA
52.6410704773895,12.7276475174269,NA
51.6543380388271,14.7357606178308,NA
52.3557944177197,12.8270938890601,NA
52.7940822557536,12.6674295105521,NA
52.8675616523982,12.4974484771913,NA
52.96328658576,12.7626107626966,NA
52.9347171545405,13.3495059437723,NA
52.8161037086796,13.334290458383,NA
51.6161323591224,14.6699339314732,NA
52.9780717292817,13.466053699123,NA
53.1598759818677,13.2756408471021,NA
52.9917007197369,13.2513541121697,NA
52.6570651653658,13.1132721949368,NA
52.5606581496383,13.0762617776423,NA
52.4986538431995,13.1928320270691,NA
52.2048291666281,14.5303969304745,NA
51.9589350233915,14.6640962105282,NA
52.4088648426015,14.4942286517833,NA
52.4294603043563,14.328788446172,NA
52.5068318593837,14.5307485964512,NA
53.0409746322008,14.2736793323253,NA
53.2652810671478,14.2868082659536,NA
53.1445849432044,14.2014884863316,NA
51.6292178090299,13.9456111607515,NA
52.1767076267706,13.8169587353269,NA
52.0049743457979,13.7924422632162,NA
51.8617759224592,13.8704389895067,NA
51.5014309838624,13.733398175327,NA
51.5453560254384,13.9957155984224,NA
51.6083211193872,13.66184222569,NA
51.8238904614328,13.8050963855571,NA
51.7418323569985,14.5213312251951,NA
